current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.024707245000172406,0.02497592000008808,0.024999372999900515,0.04546136699991621,0.04546136699991621,0.8765156829999796,space,0.8140699779996794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/23_28 copy 7.jpg,0,0,,,,,0,0,0,0,,,,,0.9016488829997797,,,,,,,,,,,0.8811767430001964,0.8812195000000429,0.8812254680001388,0.9016488829997797,0.9016488829997797,1.893978068999786,1.893978068999786,4.893652753999959,4.893652753999959,4.893652753999959,4.893652753999959,4.877751467000053,None,0,None,4.878455823999957,4.878498624999793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/24_28 copy 4.jpg,1,0,,,,,0,1,1,1,,,,,4.893652753999959,,,,,,,,,,,4.878791260000071,4.878877268999986,4.878888979999829,4.893652753999959,4.893652753999959,5.893691890999889,5.893691890999889,8.89377292800009,8.89377292800009,8.89377292800009,8.89377292800009,8.877143578999949,None,0,None,8.877567629000168,8.877606601000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/14_28.jpg,2,0,,,,,0,2,2,2,,,,,8.89377292800009,,,,,,,,,,,8.877880554000058,8.877964903999782,8.877976325999953,8.89377292800009,8.89377292800009,9.89399985099999,9.89399985099999,12.89372225399984,12.89372225399984,12.89372225399984,12.89372225399984,12.877494554999885,None,0,None,12.877917670999977,12.877957021999919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/16_0 copy 7.jpg,3,0,,,,,0,3,3,3,,,,,12.89372225399984,,,,,,,,,,,12.878231263000089,12.878316298999835,12.878327705000174,12.89372225399984,12.89372225399984,13.893604622000112,13.893604622000112,16.893798610999966,16.893798610999966,16.893798610999966,16.893798610999966,16.877620090000164,None,0,None,16.878150170000026,16.87818951600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/9_12 copy 2.jpg,4,0,,,,,0,4,4,4,,,,,16.893798610999966,,,,,,,,,,,16.87846377799997,16.878548868000053,16.87856050800019,16.893798610999966,16.893798610999966,17.89388874999986,17.89388874999986,20.89369643200007,20.89369643200007,20.89369643200007,20.89369643200007,20.87772785800007,None,0,None,20.878153469000154,20.87819353199984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/17_12 copy 7.jpg,5,0,,,,,0,5,5,5,,,,,20.89369643200007,,,,,,,,,,,20.87847154300016,20.878557981000085,20.878569942000013,20.89369643200007,20.89369643200007,21.89392270799999,21.89392270799999,24.89389429699986,24.89389429699986,24.89389429699986,24.89389429699986,24.87744319500007,None,0,None,24.87786840999979,24.877908323000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/20_0 copy 7.jpg,6,0,,,,,0,6,6,6,,,,,24.89389429699986,,,,,,,,,,,24.878182459000072,24.878269072999956,24.878280913999788,24.89389429699986,24.89389429699986,25.894074853999882,25.894074853999882,28.89370666900004,28.89370666900004,28.89370666900004,28.89370666900004,28.877769961000013,None,0,None,28.878196821000074,28.87823669499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/23_0 copy 3.jpg,7,0,,,,,0,7,7,7,,,,,28.89370666900004,,,,,,,,,,,28.87851495399991,28.878600493999784,28.878612115000124,28.89370666900004,28.89370666900004,29.893812171999798,29.893812171999798,32.892955726999844,32.892955726999844,32.892955726999844,32.892955726999844,32.87693441600004,None,0,None,32.87735187299995,32.877390319999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/13_28 copy.jpg,8,0,,,,,0,8,8,8,,,,,32.892955726999844,,,,,,,,,,,32.877658794000126,32.87774307200016,32.87775457299995,32.892955726999844,32.892955726999844,33.89389007999989,33.89389007999989,36.89386711399993,36.89386711399993,36.89386711399993,36.89386711399993,36.87746468600017,None,0,None,36.87788634399976,36.877925401000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
