current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,sess_num,is_not_last_trial,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_runs.thisRepN,loop_runs.thisTrialN,loop_runs.thisN,loop_runs.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,image_2.started,press_if_repeat_2.started,polygon_3.started,all_keys_pressed_2.started,image_2.stopped,press_if_repeat_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,press_if_repeat_2.rt,press_if_repeat_2.duration,all_keys_pressed_2.keys,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,image.started,press_if_repeat.started,polygon.started,all_keys_pressed.started,image.stopped,press_if_repeat.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,polygon.stopped,all_keys_pressed.stopped,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,all_keys_pressed.rt,all_keys_pressed.duration,participant,session (1 2 or 3),starting_run,skip_practice,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.0043035420021624304,0.004424166996614076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,0.004435709000972565,0.013785417002509348,0.013785417002509348,3.0964253339989227,1,1.9966324160050135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
practice_images/w_kitchen2.jpg,0,0,,,,,,,0,0,0,0,,,,,,,,,3.111884416997782,,,,,,,,,,,3.100451708996843,3.111884416997782,3.111884416997782,3.111884416997782,3.111884416997782,6.107187959001749,6.107187959001749,7.1027879169996595,1,0,1.0305132489957032,0.14896358399710152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
practice_images/w_boardwalk2.jpg,1,0,,,,,,,0,1,1,1,,,,,,,,,7.117975374996604,,,,,,,,,,,7.10465637499874,7.117975374996604,7.117975374996604,7.117975374996604,7.117975374996604,10.106425999998464,10.106425999998464,11.103049083998485,1,0,1.0164314579960774,0.15598975000466453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
practice_images/w_monument2.jpg,2,0,,,,,,,0,2,2,2,,,,,,,,,11.115740374996676,,,,,,,,,,,11.104435458997614,11.115740374996676,11.115740374996676,11.115740374996676,11.115740374996676,14.106519791996107,14.106519791996107,15.102752083999803,1,0,1.2866877490014303,0.17302079199725995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
practice_images/w_auditorium2.jpg,3,0,,,,,,,0,3,3,3,,,,,,,,,15.114522999996552,,,,,,,,,,,15.1039343750017,15.114522999996552,15.114522999996552,15.114522999996552,15.114522999996552,18.1073288339976,18.1073288339976,19.103079959000752,1,0,0.9049623329992755,0.1910643329974846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
practice_images/w_kitchen2.jpg,4,0,,,,,,,0,4,4,4,,,,,,,,,19.114560083995457,,,,,,,,,,,19.10420358400006,19.114560083995457,19.114560083995457,19.114560083995457,19.114560083995457,22.107004749996122,22.107004749996122,23.103288958998746,2,0,0.7810573749957257,0.14295354099886026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
practice_images/w_auditorium1.jpg,5,0,,,,,,,0,5,5,5,,,,,,,,,23.116521416995965,,,,,,,,,,,23.104458916997828,23.116521416995965,23.116521416995965,23.116521416995965,23.116521416995965,26.106807374999335,26.106807374999335,27.103065916999185,1,0,0.9661296659978689,0.14806254200084368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
practice_images/w_bedroom2.jpg,6,0,,,,,,,0,6,6,6,,,,,,,,,27.11550804199942,,,,,,,,,,,27.104493124999863,27.11550804199942,27.11550804199942,27.11550804199942,27.11550804199942,30.10679633399559,30.10679633399559,31.103009624996048,1,0,0.7041935410015867,0.15199520900205243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
practice_images/w_kitchen1.jpg,7,0,,,,,,,0,7,7,7,,,,,,,,,31.11550608399557,,,,,,,,,,,31.10415666699555,31.11550608399557,31.11550608399557,31.11550608399557,31.11550608399557,34.10823666700162,34.10823666700162,35.10342574999959,1,0,1.5912899160030065,0.1469807499961462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2024-08-13_10h18.22.975,rtmindeye,2024.1.5,None,2024-08-13 10h18.49.832387 -0400,
