current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.02923969100083923,0.04084433700336376,0.04084433700336376,134.1727032120034,5,134.12816317200486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
,,,,,,,,,,,,,,,,,,,134.17272580900317,134.17279426900495,134.17280083100195,134.1770603630066,134.1770603630066,134.889913609004,space,0.7120573290012544,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/blank.jpg,0,0,1,0,0,0,0,0,0,134.97580306500458,,,,,,,,,,,,,,,,,,134.94566002300417,134.95722777500487,None,134.9585895220007,134.97580306500458,134.97580306500458,135.76360891399963,135.76360891399963,135.75672741300514,f,0.5572377429998596,None,135.7578444690007,135.75787576400035,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,135.76360891399963,,,,,,,,,,,,,,,,,,135.7580518600007,135.76011443900643,None,135.7601962290064,135.76360891399963,135.76360891399963,136.53645383500407,136.53645383500407,136.53111885000544,h,0.6813399460006622,None,136.53133628100477,136.53136236700084,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,136.53645383500407,,,,,,,,,,,,,,,,,,136.5315228460022,136.53310424000665,None,136.53318281999964,136.53645383500407,136.53645383500407,137.31197555499966,137.31197555499966,137.30450922800082,a,0.5605353850041865,None,137.30472972600546,137.30475511900295,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/11_12.jpg,0,3,0,0,0,0,3,3,3,137.31197555499966,,,,,,,,,,,,,,,,,,137.3049152800013,138.1726822970013,None,138.172869258,,,,,138.17290717500146,None,,,138.1730245430008,138.17305932000454,137.31197555499966,137.51652850600658,137.51652850600658,138.1802724770023,138.1802724770023,138.1802724770023,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/23_12 copy 3.jpg,0,4,0,0,0,0,4,4,4,138.1802724770023,,,,,,,,,,,,,,,,,,138.17333448499994,138.9974822600052,None,138.99759638700198,,,,,138.9976198190052,None,,,138.99768860699987,138.99771158899966,138.1802724770023,138.37223516100494,138.37223516100494,139.0042291150021,139.0042291150021,139.0042291150021,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/14_40 copy.jpg,0,5,0,0,0,0,5,5,5,139.0042291150021,,,,,,,,,,,,,,,,,,138.9978780140009,139.82173996799975,None,139.82184910100477,,,,,139.821872119006,None,,,139.82194034900022,139.82196322700474,139.0042291150021,139.19441363000078,139.19441363000078,139.82860632500524,139.82860632500524,139.82860632500524,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/12_40 copy 3.jpg,0,6,0,0,0,0,6,6,6,139.82860632500524,,,,,,,,,,,,,,,,,,139.82212711500324,140.66361144300026,None,140.66374913800246,,,,,140.6637764210027,None,,,140.663857517,140.6638839139996,139.82860632500524,140.0206859300015,140.0206859300015,140.6709988970033,140.6709988970033,140.6709988970033,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/17_40 copy 2.jpg,0,7,0,0,0,0,7,7,7,140.6709988970033,,,,,,,,,,,,,,,,,,140.6640778380024,141.49848120300157,None,141.49860445400554,,,,,141.4986287980064,None,,,141.4986993660059,141.49872251900524,140.6709988970033,140.86000284500187,140.86000284500187,141.50956164200034,141.50956164200034,141.50956164200034,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
