current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,run_wait2.started,key_resp_5.started,text_5.started,run_wait2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_4.started,text_4.started,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.04369264401611872,0.04390735400374979,0.04392669000662863,0.05570054400595836,0.05570054400595836,4.180008458002703,5,4.123716698988574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/6_28 copy 2.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,4.292672956013121,,,,,,,,,,,4.252940817998024,4.292672956013121,5.2799402300152,5.2799402300152,8.279637165018357,8.279637165018357,8.279637165018357,8.263294992997544,None,8.264282970019849,8.279637165018357,8.279637165018357,12.279847783007426,12.279847783007426,12.263453059014864,None,12.264404282002943,12.279847783007426,12.279847783007426,16.430145532998722,space,4.135577357985312,None,16.43210900001577,16.432150916021783,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/10_40 copy 4.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,16.446012129017618,,,,,,,,,,,16.433070974017028,16.446012129017618,17.446644577023108,17.446644577023108,20.445928880013525,20.445928880013525,20.445928880013525,20.429469980997965,None,20.429608339996776,,,,,20.429632832005154,None,20.429703521018382,,,20.429728518007323,None,,,20.429792541021015,20.429813329013996,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/5_40 copy 5.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,20.445928880013525,,,,,,,,,,,20.430030329996953,20.445928880013525,21.44678303101682,21.44678303101682,24.446696607017657,24.446696607017657,24.446696607017657,24.430038915015757,None,24.430218369001523,,,,,24.430257781001274,None,24.430376616015565,,,24.430416169023374,None,,,24.43052594602341,24.43055999101489,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/10_0 copy 6.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,24.446696607017657,,,,,,,,,,,24.430922527011717,24.446696607017657,25.4463131930097,25.4463131930097,28.445906786015257,28.445906786015257,28.445906786015257,28.42929289501626,None,28.4294369740237,,,,,28.429460250015836,None,28.42952952501946,,,28.429553952009883,None,,,28.42961845701211,28.42963843201869,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/10_0 copy 3.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,28.445906786015257,,,,,,,,,,,28.42985241502174,28.445906786015257,29.446666924020974,29.446666924020974,32.446361278998666,32.446361278998666,32.446361278998666,32.42967395999585,None,32.429853701003594,,,,,32.42989299100009,None,32.43001010201988,,,32.43004908200237,None,,,32.430158772011055,32.43019279500004,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/5_28 copy 3.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,32.446361278998666,,,,,,,,,,,32.43055580300279,32.446361278998666,33.446665030001896,33.446665030001896,36.49636591001763,36.49636591001763,36.49636591001763,36.47983298602048,None,36.48001487599686,,,,,36.48005420801928,None,36.48017389900633,,,36.480213368020486,None,,,36.48032564599998,36.48035952402279,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/22_0.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,36.49636591001763,,,,,,,,,,,36.480721148021985,36.49636591001763,37.49857512500603,37.49857512500603,40.49633349801297,40.49633349801297,40.49633349801297,40.47973094700137,None,40.47991043300135,,,,,40.47994953900343,None,40.48006867102231,,,40.480107542010956,None,,,40.480217825999716,40.480252031004056,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/10_12 copy 2.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,40.49633349801297,,,,,,,,,,,40.480615664011566,40.49633349801297,41.49847940102336,41.49847940102336,44.49879858302302,44.49879858302302,44.49879858302302,44.48174948201631,None,44.48187869600952,,,,,44.481902433006326,None,44.48197179302224,,,44.4819959460001,None,,,44.4820606240246,44.482080488000065,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/5_40 copy 7.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,44.49879858302302,,,,,,,,,,,44.482299596013036,44.49879858302302,45.498749545018654,45.498749545018654,48.49851891500293,48.49851891500293,48.49851891500293,48.48196562100202,None,48.48214623701642,,,,,48.482185668020975,None,48.48230347200297,,,48.48234288801905,None,,,48.48245180500089,48.48248589099967,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,48.49851891500293,,,,,,,,,,,48.48284698300995,48.49851891500293,49.51376386501943,49.51376386501943,50.30154779800796,50.30154779800796,50.30154779800796,50.29334540999844,None,50.29349836401525,,,,,50.293531333009014,None,50.29362793802284,,,50.29366163900704,None,,,50.29375099900062,50.29377909601317,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
