current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,key_resp_5.started,text_5.started,run_wait2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_3.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03947246799361892,0.03963424899848178,0.039663450996158645,0.04789474900462665,0.04789474900462665,1.5927945800067391,5,1.5322478410089388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/6_28 copy 2.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,1.7224320989917032,,,,,,,,,,,1.6782860530074686,1.7224320989917032,2.7119904650026,2.7119904650026,5.709417349018622,5.709417349018622,5.709417349018622,5.692845781013602,None,5.693858322018059,5.709417349018622,5.709417349018622,9.694592596002622,None,9.695100066019222,9.708905145991594,9.708905145991594,15.226506603008602,space,5.511257423990173,None,15.227612524002325,15.227641386998584,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/10_40 copy 4.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,15.242712261999259,,,,,,,,,,,15.228269868995994,15.242712261999259,16.242347077990416,16.242347077990416,19.24569170700852,19.24569170700852,19.24569170700852,19.226154978008708,None,19.226283672993304,,,19.22630828100955,None,19.22637778200442,,,19.2264342319977,None,,,19.22650064001209,19.22652011900209,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/5_40 copy 5.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,19.24569170700852,,,,,,,,,,,19.226733151008375,19.24569170700852,20.2427256689989,20.2427256689989,23.24274587200489,23.24274587200489,23.24274587200489,23.226009160018293,None,23.22611972800223,,,23.226142772007734,None,23.22621074700146,,,23.22626198499347,None,,,23.22632731401245,23.226346629991895,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/10_0 copy 6.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,23.24274587200489,,,,,,,,,,,23.226559731992893,23.24274587200489,24.242738079017727,24.242738079017727,27.242650138010504,27.242650138010504,27.242650138010504,27.22594239600585,None,27.2260539449926,,,27.226076359016588,None,27.226145344000543,,,27.226197497016983,None,,,27.22626267001033,27.226282437011832,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/10_0 copy 3.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,27.242650138010504,,,,,,,,,,,27.226496560004307,27.242650138010504,28.24274684599368,28.24274684599368,31.242626412014943,31.242626412014943,31.242626412014943,31.22597677700105,None,31.22608598601073,,,31.226108847011346,None,31.226177199016092,,,31.226229747000616,None,,,31.22634635900613,31.226365972019266,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/5_28 copy 3.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,31.242626412014943,,,,,,,,,,,31.226579709007638,31.242626412014943,32.24183544199332,32.24183544199332,35.29267083699233,35.29267083699233,35.29267083699233,35.27584758400917,None,35.27595823199954,,,35.27598036499694,None,35.276047835999634,,,35.276126876007766,None,,,35.276217622013064,35.27624019101495,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/22_0.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,35.29267083699233,,,,,,,,,,,35.276465916016605,35.29267083699233,36.29227237901068,36.29227237901068,39.29260381299537,39.29260381299537,39.29260381299537,39.275903406,None,39.27601247900748,,,39.27603483601706,None,39.27610116201686,,,39.27617892200942,None,,,39.2762676620041,39.27629074599827,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/10_12 copy 2.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,39.29260381299537,,,,,,,,,,,39.27651167201111,39.29260381299537,40.293103572010295,40.293103572010295,43.29256931101554,43.29256931101554,43.29256931101554,43.27593949000584,None,43.27604878801503,,,43.27607201100909,None,43.27614004499628,,,43.27621910200105,None,,,43.276308650005376,43.27633086699643,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/5_40 copy 7.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,43.29256931101554,,,,,,,,,,,43.276550554001005,43.29256931101554,44.29194357499364,44.29194357499364,47.2925696040038,47.2925696040038,47.2925696040038,47.27587481299997,None,47.27598716900684,,,47.27600969499326,None,47.27607844301383,,,47.27620796501287,None,,,47.27634317599586,47.276366300007794,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,47.2925696040038,,,,,,,,,,,47.2765897870122,47.2925696040038,48.292259303998435,48.292259303998435,51.29296205600258,51.29296205600258,51.29296205600258,51.280244933004724,None,51.28036292901379,,,51.28038668699446,None,51.280455247993814,,,51.2805072000192,None,,,51.28057239300688,51.280591952003306,None,,,1,001,0,,2024-04-09_12h34.17.619,replicate_nsd,2023.2.3,59.859482978339564,2024-04-09 12h34.32.742804 -0400,
