current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0373951870133169,0.03762803500285372,0.037649504985893145,0.04836171699571423,0.04836171699571423,1.2422779870103113,5,1.1902313760074321,None,,,,,,,,,,,,,,,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/7_12 copy 4.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,4.522571212000912,,,,,,,,,,,1.315729633992305,1.3158329429861624,1.3158400930115022,1.3205577629851177,None,1.3210503740119748,1.3210811899916735,None,1.3215300950105302,1.3215608389873523,None,1.322027302987408,1.32205455400981,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/19_40 copy 3.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,4.522571212000912,,,,,,,,,,,1.32269721099874,1.322806979995221,1.3228137219848577,1.32578494399786,None,1.3258654719975311,1.3258913010067772,None,1.3259557280107401,1.3259794779878575,None,1.3260402980085928,1.3260623120004311,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/18_28 copy 3.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,4.522571212000912,,,,,,,,,,,1.3262592990067787,1.3263634459872264,1.3263699460076168,1.3288662300037686,None,1.3289425199909601,1.3289677480061073,None,1.3290312259923667,1.3290539119916502,None,1.3291141059889924,1.3291355469846167,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/22_40 copy.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,4.522571212000912,,,,,,,,,,,1.329327382001793,1.329438223008765,1.3294448890083004,1.3320150229847059,None,1.3320965500024613,1.3321233080059756,None,1.3321910760132596,1.3322148860024754,None,1.3322786100034136,1.3323016120120883,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/14_40 copy 4.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,4.522571212000912,,,,,,,,,,,1.3325045089877676,1.3326144849997945,1.3326212510000914,1.3351883449940942,None,1.335268978989916,1.3352958860050421,None,1.3353633469960187,1.3353872039879207,None,1.3354511839861516,1.335474104998866,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair04 copy 5.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,4.522571212000912,,,,,,,,,,,1.3356761489994824,1.3357758400088642,1.3357826879946515,1.34195248701144,None,1.3420353900000919,1.3420624719874468,None,1.3421293979918119,1.3421547260077205,None,1.3422181890055072,1.34224128301139,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/22_12.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,4.522571212000912,,,,,,,,,,,1.342442707013106,1.3425692440068815,1.3425770440080669,1.3457997539953794,None,1.3458956420072354,1.34592596499715,None,1.3460040249919984,1.3460320179874543,None,1.3461055000079796,1.3461319709895179,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/8_28 copy 4.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,4.522571212000912,,,,,,,,,,,1.3463648589968216,1.3464934880030341,1.3465015499969013,1.3495483699953184,None,1.3496445959899575,1.3496754489897285,None,1.349752403999446,1.349780524004018,None,1.3498537210107315,1.3498799499939196,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/18_40 copy.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,4.522571212000912,,,,,,,,,,,1.3501138479914516,1.350231497985078,1.3502393329981714,1.3530921450001188,None,1.3532122990000062,1.3532507969939616,None,1.3533577519992832,1.3533932860009372,None,1.35349864300224,1.3535326679993887,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,4.522571212000912,,,,,,,,,,,1.353825986996526,1.3539857460127678,1.353995573008433,1.3567421489860862,None,1.356860013998812,1.3568994200031739,None,1.3569969389936887,1.357031477993587,None,1.3571232990070712,1.3571557459945325,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair03 copy 7.jpg,0,10,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,10,10,10,4.522571212000912,,,,,,,,,,,1.3574475680070464,1.3576087759865914,1.3576187959988602,1.360806215001503,None,1.3608870719908737,1.3609129110118374,None,1.3609782840067055,1.3610017219907604,None,1.361063168005785,1.3610853359859902,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/8_28 copy.jpg,0,11,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,11,11,11,4.522571212000912,,,,,,,,,,,1.3612851620127913,1.3614154329989105,1.3614226100035012,1.3638852020085324,None,1.3639657530002296,1.3639910370111465,None,1.3640552810102236,1.3640782170114107,None,1.3641386929957662,1.3641616459935904,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/17_28 copy.jpg,0,12,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,12,12,12,4.522571212000912,,,,,,,,,,,1.364356690988643,1.3644635610107798,1.364470163010992,1.3669050780008547,None,1.3669813740125392,1.3670064120087773,None,1.3670691100123804,1.3670917220006231,None,1.3671512950095348,1.3671731869981159,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair11 copy 5.jpg,0,13,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,13,13,13,4.522571212000912,,,,,,,,,,,1.3673643599904608,1.3674694359942805,1.367476032988634,1.3710947149957065,None,1.3711795750132296,1.3712055390060414,None,1.3712714870052878,1.3712952740024775,None,1.3713570559921209,1.37137949798489,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair13.jpg,0,14,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,14,14,14,4.522571212000912,,,,,,,,,,,1.3715774299926125,1.371678728988627,1.3716854130034335,1.3744001490122173,None,1.374476989993127,1.3745033470040653,None,1.3745672540098894,1.3745905690011568,None,1.3746512020006776,1.3746730569982901,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/8_28 copy 3.jpg,0,15,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,15,15,15,4.522571212000912,,,,,,,,,,,1.3748671610082965,1.3749646070064045,1.3749710439878982,1.3772676830121782,None,1.3773439670039807,1.3773686139902566,None,1.3774311559973285,1.3774538850120734,None,1.3775143900129478,1.377536304993555,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/23_40 copy.jpg,0,16,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,16,16,16,4.522571212000912,,,,,,,,,,,1.377727921004407,1.377824507013429,1.3778309159970377,1.380748271010816,None,1.3808307140134275,1.380857415002538,None,1.3809248360048514,1.3809487530088518,None,1.3810115119849797,1.3810339760093484,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/23_40 copy 6.jpg,0,17,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,17,17,17,4.522571212000912,,,,,,,,,,,1.3812354840047192,1.3813452940084971,1.3813523029966746,1.3834550809988286,None,1.3835371999884956,1.3835648449894506,None,1.3836319750116672,1.3836559949850198,None,1.383718752011191,1.3837411289860029,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/20_40 copy 2.jpg,0,18,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,18,18,18,4.522571212000912,,,,,,,,,,,1.3839426840131637,1.3840532540052664,1.3840601590054575,1.3865945700090379,None,1.3866886440082453,1.3867157810018398,None,1.3867839149897918,1.3868162180006038,None,1.3868803929944988,1.3869030089990702,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,19,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,19,19,19,4.522571212000912,,,,,,,,,,,1.3871031049930025,1.3872033089865,1.3872101689921692,1.3889853520086035,None,1.389067612006329,1.3890941249846946,None,1.3891602180083282,1.389189120993251,None,1.389252889988711,1.3892757809953764,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/12_28 copy.jpg,0,20,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,20,20,20,4.522571212000912,,,,,,,,,,,1.3894760700059123,1.389586623001378,1.3895935569889843,1.3923890400037635,None,1.3924715130124241,1.3924980089941528,None,1.3925648769945838,1.3925884790078271,None,1.3926516500068828,1.3926755390129983,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/6_0 copy 7.jpg,0,21,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,21,21,21,4.522571212000912,,,,,,,,,,,1.3928771159844473,1.3929793139977846,1.3929863650118932,1.3956911400018726,None,1.3957728680106811,1.3957988049951382,None,1.3958656179893296,1.3958897599950433,None,1.39595254699816,1.395975194987841,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/15_28 copy 3.jpg,0,22,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,22,22,22,4.522571212000912,,,,,,,,,,,1.3961772450129502,1.3962878219899721,1.396294737001881,1.398899663996417,None,1.3989818230038509,1.3990081769879907,None,1.3990741460002027,1.3990977339853998,None,1.399160227010725,1.399182444991311,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
