current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03981208399636671,0.0400457059731707,0.04006666297209449,0.050568391976412386,0.050568391976412386,3.193935030983994,5,3.1305711950117256,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/7_12 copy 4.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,5.94055036699865,,,,,,,,,,,3.268549805972725,3.268651410995517,3.268658287997823,3.272503402986331,None,3.2730315159715246,3.273061356972903,None,3.2735599059960805,3.2735927999892738,None,3.2740601019759197,3.2740893209993374,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/19_40 copy 3.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,5.94055036699865,,,,,,,,,,,3.2746919079800136,3.274798980972264,3.2748059639998246,3.276816173980478,None,3.276913577981759,3.2769381679827347,None,3.2770025669888128,3.277025840972783,None,3.2770866609935183,3.2771081409882754,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/18_28 copy 3.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,5.94055036699865,,,,,,,,,,,3.277304680988891,3.2774052339955233,3.277411820978159,3.2792260969872586,None,3.2793060399999376,3.2793311789864674,None,3.2793965109740384,3.279419740982121,None,3.279480777971912,3.279502806981327,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/22_40 copy.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,5.94055036699865,,,,,,,,,,,3.2796969849732704,3.279805308993673,3.279812073975336,3.281597993976902,None,3.2816813529934734,3.2817065119743347,None,3.2817723459738772,3.2817958509840537,None,3.2818572749965824,3.2818783659895416,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/14_40 copy 4.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,5.94055036699865,,,,,,,,,,,3.2820742879994214,3.2821863219724037,3.2821931449871045,3.284037259989418,None,3.2841177589725703,3.284141825977713,None,3.2842047669983003,3.284227182972245,None,3.284286654990865,3.284307480993448,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/pair04 copy 5.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,5.94055036699865,,,,,,,,,,,3.284501403977629,3.2846003149752505,3.284606843983056,3.2911697529780213,None,3.291304597980343,3.291364935983438,None,3.2914199749939144,3.2914414099941496,None,3.2915706539934035,3.2915892339951824,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/22_12.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,5.94055036699865,,,,,,,,,,,3.2918415229942184,3.292079387989361,3.2921098029764835,3.2951792269886937,None,3.295252844982315,3.295275254989974,None,3.295331670989981,3.2953525459743105,None,3.2954057909955736,3.2954251539777033,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/8_28 copy 4.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,5.94055036699865,,,,,,,,,,,3.2956000049889553,3.2956935889960732,3.2956994509731885,3.297502724977676,None,3.297581745981006,3.2976088159775827,None,3.2977915039809886,3.2978131649724673,None,3.297867340996163,3.2978865759796463,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/18_40 copy.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,5.94055036699865,,,,,,,,,,,3.2981402199948207,3.2982498449855484,3.29825615597656,3.300074702972779,None,3.3001554049842525,3.300179866986582,None,3.300241405988345,3.3002640959748533,None,3.300322489987593,3.300343474984402,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,5.94055036699865,,,,,,,,,,,3.3005368359736167,3.3006478089955635,3.3006546849792358,3.3022352309781127,None,3.302313232998131,3.3023387729772367,None,3.302403478999622,3.302426555979764,None,3.3024876569979824,3.302509454981191,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/pair03 copy 7.jpg,0,10,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,10,10,10,5.94055036699865,,,,,,,,,,,3.3027042569883633,3.3028031479916535,3.3028097459755372,3.3054348409932572,None,3.305558679974638,3.305590918986127,None,3.305666169995675,3.305693092988804,None,3.3057704769889824,3.3057947479828727,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/8_28 copy.jpg,0,11,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,11,11,11,5.94055036699865,,,,,,,,,,,3.3060144359769765,3.3061181489902083,3.306124912982341,3.3084860399831086,None,3.308570041990606,3.30859556098585,None,3.3086618279921822,3.308685953990789,None,3.308748030976858,3.308770621981239,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/17_28 copy.jpg,0,12,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,12,12,12,5.94055036699865,,,,,,,,,,,3.3089727919723373,3.3090759519836865,3.3090825679828413,3.3151187639741693,None,3.3151946989819407,3.3152175479917787,None,3.3152770119777415,3.3152985159831587,None,3.315354838996427,3.315374816971598,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/pair11 copy 5.jpg,0,13,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,13,13,13,5.94055036699865,,,,,,,,,,,3.3155586029752158,3.3156535259913653,3.3156598239729647,3.318159435992129,None,3.318229402997531,3.3182505469885655,None,3.3183070159866475,3.31832725397544,None,3.318379832984647,3.3183984569914173,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/pair13.jpg,0,14,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,14,14,14,5.94055036699865,,,,,,,,,,,3.318568354996387,3.3186561149777845,3.31866180698853,3.321690819982905,None,3.3218734319962095,3.3219254269788507,None,3.322072468989063,3.3220994799921755,None,3.3221978359797504,3.3222619729931466,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/8_28 copy 3.jpg,0,15,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,15,15,15,5.94055036699865,,,,,,,,,,,3.322960344987223,3.32313711498864,3.323143858986441,3.3259205459908117,None,3.326014361984562,3.326037388993427,None,3.3260967939859256,3.326118275988847,None,3.3261742939939722,3.326194082997972,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/23_40 copy.jpg,0,16,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,16,16,16,5.94055036699865,,,,,,,,,,,3.3263792079815175,3.3264759949815925,3.3264819599862676,3.3282471589918714,None,3.3283265919890255,3.328350560972467,None,3.328414912975859,3.3284378569805995,None,3.3284990759857465,3.3285204179992434,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/23_40 copy 6.jpg,0,17,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,17,17,17,5.94055036699865,,,,,,,,,,,3.328715477982769,3.328826848999597,3.328833390987711,3.3307288189826068,None,3.3308155779959634,3.330842588999076,None,3.3309098899771925,3.3309390259964857,None,3.3310065469995607,3.3310296299750917,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/20_40 copy 2.jpg,0,18,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,18,18,18,5.94055036699865,,,,,,,,,,,3.331234831974143,3.331387026992161,3.3313946159905754,3.3332186189945787,None,3.3333010469796136,3.333325645973673,None,3.333389522973448,3.3334121319931,None,3.3334725109743886,3.3334939039777964,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/blank.jpg,0,19,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,19,19,19,5.94055036699865,,,,,,,,,,,3.3336882879957557,3.333797702973243,3.3338042669929564,3.335255704994779,None,3.33532832399942,3.335350966983242,None,3.335410740983207,3.3354320869839285,None,3.3354890139889903,3.335509298980469,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
