current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03995636600302532,0.040192927001044154,0.04021555499639362,0.05115827199188061,0.05115827199188061,133.7253733529942,5,133.66800383498776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/7_12 copy 4.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,133.85501020398806,,,,,,,,,,,133.808960105991,133.80902647098992,133.80903367800056,133.85501020398806,134.84286149800755,134.84286149800755,137.84319286898244,137.84319286898244,137.84319286898244,137.82740652401117,None,137.8286206650082,137.82867400100804,None,137.82944745899295,137.8295016050106,None,137.83020806199056,137.83024680399103,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/19_40 copy 3.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,137.84319286898244,,,,,,,,,,,137.83119920099853,137.83127417400829,137.8312842049927,137.84319286898244,138.8445666010084,138.8445666010084,141.84391919500194,141.84391919500194,141.84391919500194,141.82772521598963,None,141.82791439199354,141.82795768798678,None,141.82808467399445,141.828124741005,None,141.8282411719847,141.82827695499873,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/18_28 copy 3.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,141.84391919500194,,,,,,,,,,,141.82866087998264,141.82875207898906,141.82876451598713,141.84391919500194,142.8429103049857,142.8429103049857,145.8437634560105,145.8437634560105,145.8437634560105,145.82698443499976,None,145.82716527298908,145.82720116100973,None,145.827304172999,145.82733632301097,None,145.82742963600322,145.82745863700984,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/22_40 copy.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,145.8437634560105,,,,,,,,,,,145.82777640898712,145.82785472698743,145.82786518300418,145.8437634560105,146.85591733598267,146.85591733598267,147.7986038189847,147.7986038189847,147.7986038189847,147.79226910500438,None,147.79236960300477,147.79238982798415,None,147.792447824002,147.79246687100385,None,147.79251958799432,147.79253623000113,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/14_40 copy 4.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,147.7986038189847,,,,,,,,,,,147.7927160759864,147.79275686098845,147.79276257398305,147.7986038189847,148.00325195401092,148.00325195401092,148.66793088198756,148.66793088198756,148.66793088198756,148.65541567499167,None,148.65552926599048,148.65555269399192,None,148.65562291900278,148.65564512298442,None,148.6557089999842,148.6557288839831,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/pair04 copy 5.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,148.66793088198756,,,,,,,,,,,148.65594579599565,148.65599425000255,148.6560011850088,148.66793088198756,148.8503786920046,148.8503786920046,149.76142461798736,149.76142461798736,149.76142461798736,149.75183638199815,None,149.75202248600544,149.75206438600435,None,149.75219167399337,149.7522339420102,None,149.75235069100745,149.7523874809849,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/22_12.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,149.76142461798736,,,,,,,,,,,149.7527715890028,149.75286005798262,149.75287237099838,149.76142461798736,149.9612835769949,149.9612835769949,150.70960001900676,150.70960001900676,150.70960001900676,150.7010487279913,None,150.70120169999427,150.70123554000747,None,150.70133664199966,150.70136981000542,None,150.70146370699513,150.70149284999934,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/8_28 copy 4.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,150.70960001900676,,,,,,,,,,,150.70180011898628,150.70187071498367,150.7018806010019,150.70960001900676,150.90231504201074,150.90231504201074,151.6725416679983,151.6725416679983,151.6725416679983,151.6650330859993,None,151.66516742599197,151.6651942319877,None,151.66527629899792,151.66530269998475,None,151.66537681999034,151.66539996798383,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/18_40 copy.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,151.6725416679983,,,,,,,,,,,151.66564676599228,151.6657033849915,151.6657109799853,151.6725416679983,151.86148885800503,151.86148885800503,152.63934050299576,152.63934050299576,152.63934050299576,152.6327550970018,None,152.6329002440034,152.63292514000204,None,152.63300091499696,152.63302551500965,None,152.63309024000773,152.63311074100784,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
