current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,all_keys_pressed_2.rt,all_keys_pressed_2.duration,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,all_keys_pressed.rt,all_keys_pressed.duration,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,press_if_repeat.rt,press_if_repeat.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.046860422000463586,0.047166100001049927,0.04719172399927629,0.06837021799947252,0.06837021799947252,4.701553345999855,space,4.616069615000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/9_28 copy 2.jpg,0,0,,,,,0,0,0,0,,,,,4.793700539001293,,,,,,,,,,,4.737706518000778,4.793700539001293,4.793700539001293,5.76784270799908,5.76784270799908,8.76783152400094,8.76783152400094,8.76783152400094,8.76783152400094,8.75174121300006,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/14_40.jpg,1,0,,,,,0,1,1,1,,,,,8.76783152400094,,,,,,,,,,,8.754366506000224,8.76783152400094,8.76783152400094,9.768159412000387,9.768159412000387,12.767767332999938,12.767767332999938,12.767767332999938,12.767767332999938,12.751908862999699,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/6_28.jpg,2,0,,,,,0,2,2,2,,,,,12.767767332999938,,,,,,,,,,,12.752578979001555,12.767767332999938,12.767767332999938,13.768304321998585,13.768304321998585,16.768014717999904,16.768014717999904,16.768014717999904,16.768014717999904,16.752072127001156,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/23_40 copy 3.jpg,3,0,,,,,0,3,3,3,,,,,16.768014717999904,,,,,,,,,,,16.75273853899853,16.768014717999904,16.768014717999904,17.767973682999582,17.767973682999582,20.768329357000766,20.768329357000766,20.768329357000766,20.768329357000766,20.751871265001682,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/14_12 copy.jpg,4,0,,,,,0,4,4,4,,,,,20.768329357000766,,,,,,,,,,,20.75253954800064,20.768329357000766,20.768329357000766,21.76821584099889,21.76821584099889,24.7680282729998,24.7680282729998,24.7680282729998,24.7680282729998,24.751812921000237,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/6_28 copy 6.jpg,5,0,,,,,0,5,5,5,,,,,24.7680282729998,,,,,,,,,,,24.75248650800131,24.7680282729998,24.7680282729998,25.767468165999162,25.767468165999162,28.76773862600021,28.76773862600021,28.76773862600021,28.76773862600021,28.751723818000755,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/11_12 copy 7.jpg,6,0,,,,,0,6,6,6,,,,,28.76773862600021,,,,,,,,,,,28.752396032999968,28.76773862600021,28.76773862600021,29.768338394998864,29.768338394998864,32.76773917299943,32.76773917299943,32.76773917299943,32.76773917299943,32.75169907700183,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/13_40 copy 5.jpg,7,0,,,,,0,7,7,7,,,,,32.76773917299943,,,,,,,,,,,32.75236595200113,32.76773917299943,32.76773917299943,33.76841336000143,33.76841336000143,36.76802244300052,36.76802244300052,36.76802244300052,36.76802244300052,36.75205869999991,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
images/17_28.jpg,8,0,,,,,0,8,8,8,,,,,36.76802244300052,,,,,,,,,,,36.752740891999565,36.76802244300052,36.76802244300052,37.76832870900034,37.76832870900034,40.76830715899996,40.76830715899996,40.76830715899996,40.76830715899996,40.751729506999254,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_11h00.05.896,replicate_nsd,2023.2.3,60.621123668658804,2024-04-12 11h00.20.565107 -0400,
