current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,press_if_repeat.rt,press_if_repeat.duration,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03090254900052969,0.031112360999031807,0.031132346999584115,0.041661975999886636,0.041661975999886636,1.6835038400004123,5,1.6307066659992415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/5_12 copy 3.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,1.8065889890003746,,,,,,,,,,,1.7592119349992572,1.75928336799916,1.7592909519989917,1.8065889890003746,2.7823424420002993,2.7823424420002993,5.782998173999658,5.782998173999658,5.782998173999658,5.766820991999339,None,0,5.768238409998958,5.7682881979999365,None,5.769067186000029,5.769127907999064,None,5.769825765999485,5.769861487999151,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/20_40 copy 3.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,5.782998173999658,,,,,,,,,,,5.770778865000466,5.770861523000349,5.770871056000033,5.782998173999658,6.782486154999788,6.782486154999788,9.795582761998958,9.795582761998958,9.795582761998958,9.77004788799968,None,0,9.770324171999164,9.770384445999298,None,9.770497280998825,9.787615940998876,None,9.787717158000305,9.78774230899944,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/9_0 copy 3.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,9.795582761998958,,,,,,,,,,,9.787967811998897,9.788046456998927,9.78805336500045,9.795582761998958,10.782728121999753,10.782728121999753,13.787024221999673,13.787024221999673,13.787024221999673,13.767163507000078,None,0,13.767479123998783,13.76752168799976,None,13.767634579000514,13.776086394000231,None,13.77618132399948,13.77620647799995,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/5_0 copy.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,13.787024221999673,,,,,,,,,,,13.776467658999536,13.776536854998994,13.776544832999207,13.787024221999673,14.782280158000503,14.782280158000503,17.789547368000058,17.789547368000058,17.789547368000058,17.76866534600049,None,0,17.76899045999926,17.769032210999285,None,17.769146729999193,17.777226248999796,None,17.777333424999597,17.77735838099943,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair03 copy 3.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,17.789547368000058,,,,,,,,,,,17.77761920100056,17.777725873000236,17.7777327849999,17.789547368000058,18.78405461699913,18.78405461699913,21.785301964999235,21.785301964999235,21.785301964999235,21.76661448899904,None,0,21.766937487000177,21.766981602999294,None,21.767095524999604,21.775813332000325,None,21.775909427999068,21.77593462599907,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair02 copy.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,21.785301964999235,,,,,,,,,,,21.776193416999376,21.776264096999512,21.776271807999365,21.785301964999235,22.782340752999517,22.782340752999517,25.836749922998933,25.836749922998933,25.836749922998933,25.817065511999317,"['1', '1', '1', '1', '1', '1', '1', '1', '1']",0,25.819145710000157,25.819184902000416,None,25.819286874999307,25.827185811000163,None,25.827268164999623,25.827289807999477,None,"[0.025982502000260865, 0.24605202699967776, 0.45798030699916126, 0.6540305649996299, 1.242018521999853, 2.2940338409989636, 2.5220349760002136, 2.7380051229993114, 2.9500245119998]","[None, None, None, None, None, None, None, None, None]",,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/17_28 copy.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,25.836749922998933,,,,,,,,,,,25.82751162099885,25.827572803000294,25.827579573999174,25.836749922998933,26.83271936299934,26.83271936299934,29.83584454999982,29.83584454999982,29.83584454999982,29.81700752100005,"['1', '1', '1', '1', '1']",0,29.817557719999968,29.8176030249997,None,29.817713858999923,29.8251567899988,None,29.825236032000248,29.82525661100044,None,"[0.10764064100112591, 2.231651726000564, 2.4676290600000357, 2.6676263560002553, 2.879623762000847]","[None, None, None, None, None]",,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/24_0.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,29.83584454999982,,,,,,,,,,,29.825468990000445,29.825558487998933,29.825565420000203,29.83584454999982,30.833172802998888,30.833172802998888,33.83735689800051,33.83735689800051,33.83735689800051,33.816909332999785,"['1', '1', '1', '1', '1', '1', '1']",0,33.81745837999915,33.817502767000406,None,33.817612011000165,33.825843934999284,None,33.82594045299993,33.82596558299883,None,"[0.03516095300074085, 0.48717063600088295, 0.7311244930006069, 0.9472557810004218, 1.1952423330003512, 1.4431939050009532, 1.7271926240009634]","[None, None, None, None, None, None, None]",,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair04 copy 5.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,33.83735689800051,,,,,,,,,,,33.82622343299954,33.82629314800033,33.8263010390001,33.83735689800051,34.8327306279989,34.8327306279989,37.83626000500044,37.83626000500044,37.83626000500044,37.81701005499963,"['1', '1', '1', '1']",0,37.817547040000136,37.81759069399959,None,37.817700075000175,37.82620054399922,None,37.826295138000205,37.82631965099972,None,"[2.1796138039990183, 2.3916512920004607, 2.5996443719996023, 2.823681869000211]","[None, None, None, None]",,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
