current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,all_keys_pressed_2.rt,all_keys_pressed_2.duration,blank_trial_2.started,blank_trial_2.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.02797323699996923,0.02824120400009633,0.02826384200011489,0.07687380200013649,0.07687380200013649,1.9715651070000604,space,1.8894821110000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/5_12 copy 7.jpg,0,0,,,,,0,0,0,0,,,,,2.0002755269999852,,,,,,,,,,,1.9784795729999587,1.978544329999977,1.9785534150000785,2.0002755269999852,2.0002755269999852,3.0052021690000856,3.0052021690000856,6.0052812900000845,6.0052812900000845,6.0052812900000845,6.0052812900000845,5.9893687339999815,None,0,['space'],[2.8501367420001316],[None],5.99060657300015,5.990650833000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/13_40 copy 5.jpg,1,0,,,,,0,1,1,1,,,,,6.0052812900000845,,,,,,,,,,,5.9909318859999985,5.991021029999956,5.991032543000074,6.0052812900000845,6.0052812900000845,7.005733975000112,7.005733975000112,10.005257249000124,10.005257249000124,10.005257249000124,10.005257249000124,9.989269462000038,1,0,None,,,9.990038879000167,9.990080626999998,2.7965275899998687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/19_40.jpg,2,0,,,,,0,2,2,2,,,,,10.005257249000124,,,,,,,,,,,9.990351400000009,9.990439181000056,9.99045107400002,10.005257249000124,10.005257249000124,11.004836284000021,11.004836284000021,14.005354603000114,14.005354603000114,14.005354603000114,14.005354603000114,13.989298007000116,2,0,None,,,13.989882749000117,13.9899232570001,2.7535327850000613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/6_28.jpg,3,0,,,,,0,3,3,3,,,,,14.005354603000114,,,,,,,,,,,13.990195013000175,13.990281837000111,13.990293356000166,14.005354603000114,14.005354603000114,15.00490129700006,15.00490129700006,18.005259453999997,18.005259453999997,18.005259453999997,18.005259453999997,17.989294736000147,2,0,None,,,17.98989446900009,17.98993782399998,2.913365763999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/19_12 copy 4.jpg,4,0,,,,,0,4,4,4,,,,,18.005259453999997,,,,,,,,,,,17.990213476000008,17.990301528000145,17.990313008000157,18.005259453999997,18.005259453999997,19.005452045000084,19.005452045000084,22.005282726000132,22.005282726000132,22.005282726000132,22.005282726000132,21.98931993600013,1,0,None,,,21.989907281000114,21.98995018000005,2.9249236200000723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/21_28 copy 5.jpg,5,0,,,,,0,5,5,5,,,,,22.005282726000132,,,,,,,,,,,21.99022780900009,21.990316699000005,21.990328037000154,22.005282726000132,22.005282726000132,23.005491049000057,23.005491049000057,26.005543259999968,26.005543259999968,26.005543259999968,26.005543259999968,25.989323386000024,2,0,None,,,25.989911998000025,25.989953688000014,2.688776688999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/11_12 copy 7.jpg,6,0,,,,,0,6,6,6,,,,,26.005543259999968,,,,,,,,,,,25.990228148000142,25.990315248000115,25.990326565000032,26.005543259999968,26.005543259999968,27.0051386130001,27.0051386130001,30.004958732999967,30.004958732999967,30.004958732999967,30.004958732999967,29.98902394200013,1,0,None,,,29.989610341000116,29.989650054000094,2.653251025000145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/9_28 copy 2.jpg,7,0,,,,,0,7,7,7,,,,,30.004958732999967,,,,,,,,,,,29.989924308000127,29.990010044999963,29.99002173300005,30.004958732999967,30.004958732999967,31.005303965000166,31.005303965000166,34.005479740000055,34.005479740000055,34.005479740000055,34.005479740000055,33.98836251900002,1,0,None,,,33.988826965000044,33.988858327000116,2.9410933389999627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/18_28 copy 6.jpg,8,0,,,,,0,8,8,8,,,,,34.005479740000055,,,,,,,,,,,33.98907392499996,33.98914333300013,33.98915246499996,34.005479740000055,34.005479740000055,35.00551616400003,35.00551616400003,38.00530523300017,38.00530523300017,38.00530523300017,38.00530523300017,37.98908525599995,1,0,None,,,37.9896800890001,37.98972307500003,2.896707127000127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
