current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.036317029999736405,0.03656634100025258,0.03658790200006479,0.047615784000299755,0.047615784000299755,1.3231913669997084,5,1.265428594999321,None,,,,,,,,,,,,,,,,,,,,,,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/7_0 copy 7.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,1.452789398999812,,,,,,,,,,,1.4027418340001532,1.402800902999843,1.4028077459997803,1.452789398999812,2.438411432999601,2.438411432999601,5.442572389999441,5.442572389999441,5.442572389999441,5.426548129999901,None,0,5.430037676000211,5.430103693000092,None,5.4309829559997524,5.4310373429998435,None,5.431914455999504,5.431962165999721,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/7_28 copy 5.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,5.442572389999441,,,,,,,,,,,5.432949498000198,5.433032443000229,5.433042099999511,5.442572389999441,6.440103638999972,6.440103638999972,9.439456553999662,9.439456553999662,9.439456553999662,9.423879087999921,None,0,9.424207234999812,9.424250981000114,None,9.424368133999451,9.424410433999583,None,9.424522806999448,9.424560628999643,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/14_28 copy 6.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,9.439456553999662,,,,,,,,,,,9.424945167999795,9.425030209999932,9.42504207499951,9.439456553999662,10.439091303000168,10.439091303000168,13.440235250000114,13.440235250000114,13.440235250000114,13.424032249999982,None,0,13.424356020000232,13.424399046999497,None,13.424513287000082,13.424554162999812,None,13.424664383000163,13.424700223999935,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/7_0 copy 6.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,13.440235250000114,,,,,,,,,,,13.425072590999662,13.425142967000284,13.425152163999883,13.440235250000114,14.44074013699992,14.44074013699992,17.44104481500017,17.44104481500017,17.44104481500017,17.4241228410001,None,0,17.424387219999517,17.4244216649995,None,17.42451622899989,17.424549915999705,None,17.424637428000096,17.4246678720001,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/7_12 copy 4.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,17.44104481500017,,,,,,,,,,,17.424971354999798,17.425039507000292,17.425049038999532,17.44104481500017,18.440310778999446,18.440310778999446,21.443232050000006,21.443232050000006,21.443232050000006,21.4235308719999,None,0,21.423855287999686,21.423897362999924,None,21.424012618999768,21.424053124999773,None,21.424162389999765,21.424198511000213,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/pair06 copy 4.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,21.443232050000006,,,,,,,,,,,21.42457115399975,21.42465626899957,21.424667641999804,21.443232050000006,22.43981998399977,22.43981998399977,25.43987674500022,25.43987674500022,25.43987674500022,25.423342408999815,None,0,25.423538504000135,25.423562631000095,None,25.423626845999934,25.42365058699943,None,25.423711405000176,25.42373240300003,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/6_28 copy 5.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,25.43987674500022,,,,,,,,,,,25.423947151999528,25.42399573199964,25.424002341999767,25.43987674500022,26.440171696000107,26.440171696000107,29.489652926999952,29.489652926999952,29.489652926999952,29.473590232999413,None,0,29.4739191030003,29.47396191000007,None,29.474077486999704,29.474118914999963,None,29.474230763999913,29.474267268999938,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/11_28 copy 6.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,29.489652926999952,,,,,,,,,,,29.474644920999708,29.474729751000268,29.474741535999783,29.489652926999952,30.490050085999428,30.490050085999428,33.48947351100014,33.48947351100014,33.48947351100014,33.473449805999735,None,0,33.473777516000155,33.47382094299974,None,33.473936726999455,33.47397774299952,None,33.474087462999705,33.474123635999604,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
images/8_12 copy 6.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,33.48947351100014,,,,,,,,,,,33.4744984379995,33.47458306599947,33.47459452899966,33.48947351100014,34.4899686359995,34.4899686359995,,,,37.47350204000031,None,0,37.473829265999484,37.47387265299949,None,37.474015009999675,37.47405862599953,None,37.47417689899976,37.474214388999826,None,7,001,0,,2024-04-11_13h10.18.410,replicate_nsd,2023.2.3,60.11553496444753,2024-04-11 13h10.29.048998 -0400,
,,,,,,,,,,,,,,,,,,,,,,37.47460124400004,37.47468922000007,37.47470105699995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
