current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,press_if_repeat.rt,press_if_repeat.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0411527770002067,0.041319407000628416,0.04133355900012248,0.051814291000482626,0.051814291000482626,1.1628837780008325,5,1.0993968419998055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/pair04 copy.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,1.2919061820002753,,,,,,,,,,,1.2455738510006995,1.2456382190002842,1.245645285000137,1.2919061820002753,2.2791626520001955,2.2791626520001955,5.2784546700004285,5.2784546700004285,5.2784546700004285,5.262943327000357,None,0,5.264392035000128,5.264441788000113,None,5.2652904420001505,5.265329841000494,None,5.266068871000243,5.266106521999973,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/7_28 copy.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,5.2784546700004285,,,,,,,,,,,5.267049625000254,5.267122002000178,5.26713121100056,5.2784546700004285,6.279489317000298,6.279489317000298,9.278995590000704,9.278995590000704,9.278995590000704,9.26299064200066,None,0,9.263321712000106,9.263364918000661,None,9.263482899000337,9.263523007000003,None,9.263634901000842,9.26367047200074,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/20_40 copy 7.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,9.278995590000704,,,,,,,,,,,9.264048904000447,9.264135986000838,9.264147361000141,9.278995590000704,10.279526782000175,10.279526782000175,13.27899260400045,13.27899260400045,13.27899260400045,13.263010771000154,None,0,13.263342167000701,13.263384933999987,None,13.263500951000424,13.26354090300083,None,13.263653355000315,13.263689382000848,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/12_28 copy 2.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,13.27899260400045,,,,,,,,,,,13.264065676000428,13.264154401000269,13.264165990000038,13.27899260400045,14.279546321999987,14.279546321999987,17.279172945000028,17.279172945000028,17.279172945000028,17.26294221900025,None,0,17.263278021000588,17.263320763000593,None,17.263436733000162,17.263477445000717,None,17.263587058000667,17.26362185400012,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/8_40 copy 2.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,17.279172945000028,,,,,,,,,,,17.264000226999997,17.26408992300003,17.264101656000093,17.279172945000028,18.28356630899998,18.28356630899998,21.278994558000704,21.278994558000704,21.278994558000704,21.262923427000715,None,0,21.263256069000818,21.263298554000357,None,21.263421233000372,21.263461358000313,None,21.26357225600077,21.263607663000585,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/23_0 copy 4.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,21.278994558000704,,,,,,,,,,,21.26398093500029,21.26406868900085,21.264080205000027,21.278994558000704,22.27915496500009,22.27915496500009,25.278907015000186,25.278907015000186,25.278907015000186,25.262935951000145,None,0,25.263267850000375,25.26331209,None,25.26342937300069,25.263469395000357,None,25.263579806000052,25.26361577500029,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/12_0 copy.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,25.278907015000186,,,,,,,,,,,25.26399200600008,25.264079770000535,25.264091250000092,25.278907015000186,26.278917280000314,26.278917280000314,29.32920427099998,29.32920427099998,29.32920427099998,29.312995138000588,None,0,29.313326631000564,29.313369107000653,None,29.313501958000415,29.313544121000632,None,29.313657326000794,29.31369361600082,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/23_28 copy 2.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,29.32920427099998,,,,,,,,,,,29.31427121500019,29.314359771000454,29.314371673000096,29.32920427099998,30.329445464000855,30.329445464000855,33.32924757100045,33.32924757100045,33.32924757100045,33.313130853000075,None,0,33.313568848000614,33.313611544000196,None,33.313726973000485,33.31376762900072,None,33.31387823100067,33.313913518000845,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/6_28 copy 4.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,33.32924757100045,,,,,,,,,,,33.314292342000044,33.31438028299999,33.31439210000008,33.32924757100045,34.32952053200006,34.32952053200006,37.32897514400065,37.32897514400065,37.32897514400065,37.31265000800067,None,0,37.31297735500084,37.31302147800034,None,37.3131414190002,37.313183214000674,None,37.31329623200054,37.313332506000734,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,37.32897514400065,,,,,,,,,,,37.313714499000525,37.3138041910006,37.31381584000064,,,,,,,37.317132081000636,None,0,37.31734853100079,41.31287583200083,None,41.31309083500037,41.31313534900073,None,41.313261094000154,41.31329874200037,None,37.32897514400065,37.32897514400065,41.32918428500034,41.32918428500034,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/pair03 copy.jpg,0,10,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,10,10,10,41.32918428500034,,,,,,,,,,,41.313695575000565,41.313782530000026,41.31379445100083,41.32918428500034,42.33047919800083,42.33047919800083,45.329227557000195,45.329227557000195,45.329227557000195,45.31295428800058,None,0,45.31328373100041,45.31332713400025,None,45.31344544900003,45.313485815000604,None,45.31359582700043,45.31363159100056,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/24_28.jpg,0,11,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,11,11,11,45.329227557000195,,,,,,,,,,,45.31400721299997,45.31409590400017,45.314107882000826,45.329227557000195,46.32944816500003,46.32944816500003,49.329152556000736,49.329152556000736,49.329152556000736,49.31300159800048,None,0,49.313332255000205,49.313374672000464,None,49.31349119200058,49.313532013999975,None,49.31364213100005,49.31367772700014,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/14_28 copy 7.jpg,0,12,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,12,12,12,49.329152556000736,,,,,,,,,,,49.31405395100046,49.31414040600066,49.31415221300085,49.329152556000736,50.3294814030005,50.3294814030005,53.32896048400016,53.32896048400016,53.32896048400016,53.31291451600009,None,0,53.3132433260007,53.31328569500056,None,53.313401902000805,53.313442528999985,None,53.31355337200057,53.31358984000053,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/11_28 copy 2.jpg,0,13,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,13,13,13,53.32896048400016,,,,,,,,,,,53.31396837900047,53.31405567800084,53.314067154999975,53.32896048400016,54.32942459500009,54.32942459500009,57.32886148700072,57.32886148700072,57.32886148700072,57.31288487200072,None,0,57.31321397500051,57.31325674800064,None,57.31337306700061,57.313413704000595,None,57.313524804000735,57.31356054200023,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/pair08 copy.jpg,0,14,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,14,14,14,57.32886148700072,,,,,,,,,,,57.313940301,57.31402815000001,57.314039851000416,57.32886148700072,58.32943335800064,58.32943335800064,61.328866770000786,61.328866770000786,61.328866770000786,61.312605129000076,None,0,61.312935702000686,61.31297848700069,None,61.31309742100075,61.31313883100029,None,61.31325074100005,61.31328653300079,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/13_28 copy 5.jpg,0,15,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,15,15,15,61.328866770000786,,,,,,,,,,,61.3136665130005,61.31375362900053,61.313765502000024,61.328866770000786,62.32909050200033,62.32909050200033,65.32879618400057,65.32879618400057,65.32879618400057,65.3125464650002,None,0,65.31287793900083,65.31291995400079,None,65.3130362690008,65.31307745600043,None,65.31319527699998,65.31323515000076,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/23_28 copy 3.jpg,0,16,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,16,16,16,65.32879618400057,,,,,,,,,,,65.31361821200062,65.31370817000061,65.3137200730007,65.32879618400057,66.33068051300052,66.33068051300052,69.3288813120007,69.3288813120007,69.3288813120007,69.31291597600011,None,0,69.31324521500028,69.31328837399997,None,69.3134042670008,69.31344452200028,None,69.31355501300004,69.31359018700005,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/23_12 copy 3.jpg,0,17,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,17,17,17,69.3288813120007,,,,,,,,,,,69.31396531300015,69.31405345000076,69.31406518300082,69.3288813120007,70.32911077900008,70.32911077900008,73.32940895400043,73.32940895400043,73.32940895400043,73.31294735700067,None,0,73.3132764890006,73.31331905700063,None,73.31343518600079,73.31347632500001,None,73.3135863260004,73.3136218590007,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/23_12 copy 6.jpg,0,18,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,18,18,18,73.32940895400043,,,,,,,,,,,73.31399644800058,73.31408470500082,73.31409642800008,73.32940895400043,74.3290514700002,74.3290514700002,77.3291085030005,77.3291085030005,77.3291085030005,77.3128685720003,None,0,77.313203445,77.31324691700047,None,77.31336625700078,77.3134073830006,None,77.31351928200002,77.31355616200017,None,,,,,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
images/blank.jpg,0,19,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,19,19,19,77.3291085030005,,,,,,,,,,,77.31418458000007,77.31429233000017,77.31430528200053,,,,,,,77.3167568430008,None,0,77.31700213800013,81.31284505900021,None,81.31305854400034,81.31310349700016,None,81.31322986500072,81.31326757700026,None,77.3291085030005,77.3291085030005,81.32889246500054,81.32889246500054,,,7,001,0,,2024-04-11_13h12.16.292,replicate_nsd,2023.2.3,60.1587818856173,2024-04-11 13h12.27.451245 -0400,
