current_image,trial_index,is_blank_trial
images/6_28.jpg,0,0
images/11_12 copy 7.jpg,1,0
images/19_40.jpg,2,0
images/7_0 copy 2.jpg,3,0
images/9_12 copy 6.jpg,4,0
images/6_28 copy 6.jpg,5,0
images/14_40.jpg,6,0
images/13_40 copy 5.jpg,7,0
images/18_28 copy 6.jpg,8,0
images/21_40 copy 5.jpg,9,0
images/blank.jpg,10,1
images/5_12 copy 7.jpg,11,0
images/23_40 copy 3.jpg,12,0
images/pair03 copy 7.jpg,13,0
images/14_12 copy.jpg,14,0
images/8_40 copy 3.jpg,15,0
images/14_40 copy 6.jpg,16,0
images/21_28 copy 5.jpg,17,0
images/19_12 copy 4.jpg,18,0
images/9_28 copy 2.jpg,19,0
