,tr_list,tr_trial_name,tr_label_hrf
0,1,blank,
1,2,blank,
2,3,blank,
3,4,blank,blank
4,5,blank,blank
5,6,blank,blank
6,7,blank,blank
7,8,COCOimage_46003.0_trialNum_1.0_runNum1_,blank
8,9,COCOimage_46003.0_trialNum_1.0_runNum1_,blank
9,10,blank,blank
10,11,COCOimage_61883.0_trialNum_2.0_runNum1_,COCOimage_46003.0_trialNum_1.0_runNum1_
11,12,COCOimage_61883.0_trialNum_2.0_runNum1_,COCOimage_46003.0_trialNum_1.0_runNum1_
12,13,COCOimage_829.0_trialNum_3.0_runNum1_,blank
13,14,COCOimage_829.0_trialNum_3.0_runNum1_,COCOimage_61883.0_trialNum_2.0_runNum1_
14,15,blank,COCOimage_61883.0_trialNum_2.0_runNum1_
15,16,COCOimage_67574.0_trialNum_4.0_runNum1_,COCOimage_829.0_trialNum_3.0_runNum1_
16,17,COCOimage_67574.0_trialNum_4.0_runNum1_,COCOimage_829.0_trialNum_3.0_runNum1_
17,18,COCOimage_16021.0_trialNum_5.0_runNum1_,blank
18,19,COCOimage_16021.0_trialNum_5.0_runNum1_,COCOimage_67574.0_trialNum_4.0_runNum1_
19,20,blank,COCOimage_67574.0_trialNum_4.0_runNum1_
20,21,COCOimage_40423.0_trialNum_6.0_runNum1_,COCOimage_16021.0_trialNum_5.0_runNum1_
21,22,COCOimage_40423.0_trialNum_6.0_runNum1_,COCOimage_16021.0_trialNum_5.0_runNum1_
22,23,COCOimage_51518.0_trialNum_7.0_runNum1_,blank
23,24,COCOimage_51518.0_trialNum_7.0_runNum1_,COCOimage_40423.0_trialNum_6.0_runNum1_
24,25,blank,COCOimage_40423.0_trialNum_6.0_runNum1_
25,26,COCOimage_62326.0_trialNum_8.0_runNum1_,COCOimage_51518.0_trialNum_7.0_runNum1_
26,27,COCOimage_62326.0_trialNum_8.0_runNum1_,COCOimage_51518.0_trialNum_7.0_runNum1_
27,28,COCOimage_50611.0_trialNum_9.0_runNum1_,blank
